de
da
te
ta
ya
ki
mi
mı
mu
mü
miyim
mıyım
muyum
müyüm
misin
mısın
musun
müsün
miyiz
mıyız
muyuz
müyüz
misiniz
mısınız
musunuz
müsünüz
miydim
mıydım
muydum
müydüm
miydin
mıydın
muydun
müydün
miydik
mıydık
muyduk
müydük
miydiniz
mıydınız
muydunuz
müydünüz
mudur
müdür
mıdır
midir
miydi
mıydı
muydu
müydü
